Submission Timestamp,Empty Column,Do you run your node from home?,"If no or partial, what is the reason?",Do you track your node bandwidth usage?,What do you use to track your node bandwidth usage?,Would increased bandwidth usage have an adverse effect on your ability to run a node from home?,What are your internet download speeds?,What are your internet upload speeds?,Do you have an overall data ceiling / cap?,DownloadSpeed_Range,UploadSpeed_Range,DownloadSpeed_SortKey,UploadSpeed_SortKey
2024-09-29T14:31:26.399Z,,No,Both bandwidth concerns and realibility (lots of internet downtime due to provider).  I have to run server with throttled upload (1.5Mbps) or video conference is not possible on same connection.,Yes,vnstat,Not applicable,,,,,,,
2024-09-29T15:44:33.883Z,,No,"All of the above. While it would have been the choice of preference to be at home solo staker, it was prohibitively complicated to run testnet and had not good experience with EthStaker and Dappnode advice and support to feel confidence on running at home.",No,Not applicable,Unsure,,,,,,,
2024-09-29T15:57:14.841Z,,Yes,,Yes,vnstat,Yes,,,,,,,
2024-09-29T16:59:10.909Z,,Yes,Not applicable,No,Not applicable,Unsure,1000,100,,'501-1000,'51-100,5,3
2024-09-29T19:47:17.983Z,,No,Bandwidth concerns,Yes,DigitalOcean graphs,No,24,12,,'11-50,'11-50,2,2
2024-09-30T03:31:08.426Z,,Yes,Not applicable,No,Not applicable,Yes,900,900,,'501-1000,'501-1000,5,5
2024-09-30T04:25:34.716Z,,Yes,,Yes,Grafana,Unsure,1000,100,,'501-1000,'51-100,5,3
2024-09-30T19:07:37.283Z,,Yes,,Yes,Grafana,No,1000,1000,,'501-1000,'501-1000,5,5
2024-09-30T19:08:47.520Z,,Yes,,Yes,Grafana,No,,,,,,,
2024-09-30T19:37:02.792Z,,Yes,,No,Not applicable,Unsure,400,400,,'101-500,'101-500,4,4
2024-09-30T19:37:08.467Z,,Yes,,No,,No,,,,,,,
2024-10-01T01:01:54.836Z,,Yes,,No,,Unsure,90,40,,'51-100,'11-50,3,2
2024-10-01T02:26:58.326Z,,Partially,Living situation not permanent,No,Not applicable,Unsure,90.85,18.55,,'51-100,'11-50,3,2
2024-10-01T05:29:24.166Z,,Yes,,Yes,ISP monitoring,Yes,1000,1000,,'501-1000,'501-1000,5,5
2024-10-01T05:43:42.498Z,,Yes,,No,"Although I do not track currently, I will track because of the recent discussions about increasing blob number. I will use one of these tools: https://snapshooter.com/learn/check-network-usage--linux",Unsure,100,22,,'51-100,'11-50,3,2
2024-10-01T06:45:49.621Z,,Yes,,Yes,Modem app,Yes,283,24,,'101-500,'11-50,4,2
2024-10-01T11:22:25.995Z,,Yes,,No,Grafana,Yes,1000,1000,,'501-1000,'501-1000,5,5
2024-10-01T13:27:24.460Z,,No,Tax Situation in Germany,No,Not applicable,No,,,,,,,
2024-10-01T14:14:17.642Z,,Yes,,Yes,Modem app,No,800,50,,'501-1000,'11-50,5,2
2024-10-01T14:53:07.524Z,,Yes,,No,,No,692,17,,'501-1000,'11-50,5,2
2024-10-01T17:22:14.861Z,,Yes,Not applicable,Yes,Grafana,Yes,50,25,,'11-50,'11-50,2,2
2024-10-01T20:24:32.865Z,,Yes,Not applicable,No,Not applicable,Unsure,600,400,,'501-1000,'101-500,5,4
2024-10-02T00:51:42.387Z,,Yes,Not applicable,Yes,Grafana,No,800,900,,'501-1000,'501-1000,5,5
2024-10-02T00:58:24.782Z,,Yes,Not applicable,Yes,Grafana,Unsure,60,60,,'51-100,'51-100,3,3
2024-10-02T03:05:17.649Z,,Yes,,No,Not applicable,No,1000,30,,'501-1000,'11-50,5,2
2024-10-02T09:35:47.310Z,,Yes,,Yes,Modem app,No,500,500,,'101-500,'101-500,4,4
2024-10-02T12:36:07.451Z,,Yes,Not applicable,Yes,Grafana,Unsure,200,200,,'101-500,'101-500,4,4
2024-10-02T17:35:28.306Z,,Yes,Not applicable,Yes,Grafana,Unsure,860.78,55.87,,'501-1000,'51-100,5,3
2024-10-02T21:32:20.330Z,,Yes,Not applicable,No,Not applicable,Unsure,,,,,,,
2024-10-02T21:32:27.118Z,,Yes,Not applicable,Yes,Grafana,No,600,90,,'501-1000,'51-100,5,3
2024-10-02T21:33:38.070Z,,Yes,Not applicable,No,,Yes,150,,,'101-500,,4,
2024-10-02T21:46:19.140Z,,Partially,Living situation not permanent,Yes,ISP monitoring,Yes,60,10,,'51-100,'0-10,3,1
2024-10-02T22:41:13.567Z,,Yes,,Yes,Grafana,No,500,250,,'101-500,'101-500,4,4
2024-10-02T22:51:12.468Z,,Yes,,Yes,Grafana,Unsure,200,50,,'101-500,'11-50,4,2
2024-10-02T22:56:13.098Z,,Yes,Not applicable,Yes,Grafana,No,940,940,,'501-1000,'501-1000,5,5
2024-10-02T23:40:13.952Z,,Yes,,Yes,Modem app,No,,,,,,,
2024-10-03T01:12:18.230Z,,Yes,,Yes,VPN app,No,,,,,,,
2024-10-03T01:43:51.848Z,,Yes,Not applicable,Yes,Grafana,No,100,100,,'51-100,'51-100,3,3
2024-10-03T02:06:33.879Z,,Yes,,No,Not applicable,Unsure,800,20,,'501-1000,'11-50,5,2
2024-10-03T03:18:10.380Z,,Yes,,No,,No,300,150,,'101-500,'101-500,4,4
2024-10-03T03:31:30.123Z,,Yes,,No,,No,1000,800,,'501-1000,'501-1000,5,5
2024-10-03T03:50:43.178Z,,Yes,Not applicable,No,Not applicable,No,100,100,1E+12,'51-100,'51-100,3,3
2024-10-03T14:19:57.001Z,,Yes,Not applicable,Yes,ISP monitoring,No,600,600,,'501-1000,'501-1000,5,5
2024-10-03T14:46:18.487Z,,Yes,,Yes,Modem app,Unsure,70,20,,'51-100,'11-50,3,2
2024-10-03T17:24:40.805Z,,Yes,Not applicable,Yes,Ubuntu queries,No,1000,1000,0,'501-1000,'501-1000,5,5
2024-10-04T16:52:34.646Z,,Yes,,Yes,Grafana,Yes,20,10,,'11-50,'0-10,2,1
2024-10-05T00:59:57.300Z,,Yes,Not applicable,No,Not applicable,Yes,50,8,,'11-50,'0-10,2,1
2024-10-05T01:14:48.669Z,,Yes,,No,,Unsure,,,,,,,
2024-10-05T01:36:13.933Z,,Yes,,Yes,Switch,No,1200,40,,'1001-5000,'11-50,6,2
2024-10-05T01:38:52.245Z,,Yes,,No,Not applicable,Unsure,0,,,,,,
2024-10-05T03:28:11.590Z,,Yes,,Yes,Grafana,No,250,,,'101-500,,4,
2024-10-05T03:30:25.898Z,,Yes,,Yes,Modem app,No,,,,,,,
2024-10-05T03:37:43.723Z,,No,Electricity not reliable,Not applicable,Not applicable,Not applicable,100,100,,'51-100,'51-100,3,3
2024-10-05T05:35:26.960Z,,Yes,,Yes,Grafana,Unsure,500,50,,'101-500,'11-50,4,2
2024-10-05T05:58:19.505Z,,Yes,Not applicable,No,Not applicable,Unsure,81,24,,'51-100,'11-50,3,2
2024-10-05T06:50:34.824Z,,Yes,,No,Not applicable,Yes,3,3,,'0-10,'0-10,1,1
2024-10-05T08:26:22.279Z,,Yes,,Yes,Grafana,Unsure,1000,100,,'501-1000,'51-100,5,3
2024-10-05T08:30:01.145Z,,Yes,,Yes,Grafana,Yes,100,100,,'51-100,'51-100,3,3
2024-10-05T09:02:46.924Z,,Yes,,No,,Unsure,1000,300,9999999,'501-1000,'101-500,5,4
2024-10-05T10:50:48.640Z,,No,I travel a lot for work and prefer to rely on a cloud server.,No,Not applicable,No,,,,,,,
2024-10-05T12:27:17.451Z,,Yes,Electricity not reliable,Yes,ISP monitoring,Yes,100,50,10,'51-100,'11-50,3,2
2024-10-05T12:29:08.240Z,,No,Living situation not permanent,No,Not applicable,No,,,,,,,
2024-10-05T22:31:16.802Z,,Yes,Not applicable,No,Grafana,No,1000,500,,'501-1000,'101-500,5,4
2024-10-05T22:43:11.769Z,,Yes,Not applicable,No,Not applicable,Unsure,300,135,,'101-500,'101-500,4,4
2024-10-06T07:05:43.533Z,,Yes,Not applicable,No,Not applicable,Yes,550,40,0,'501-1000,'11-50,5,2
2024-10-06T09:31:24.331Z,,Yes,Not applicable,Yes,Grafana,No,,,,,,,
2024-10-06T12:38:32.642Z,,Yes,Not applicable,No,Not applicable,No,50000,5000,,'5001+,'1001-5000,7,6
2024-10-06T14:00:14.283Z,,No,Living situation not permanent,Yes,Grafana,Not applicable,,,,,,,
2024-10-06T15:40:31.902Z,,Yes,Not applicable,Yes,Grafana,No,1000,1000,,'501-1000,'501-1000,5,5
2024-10-06T22:27:26.047Z,,Partially,Bandwidth concerns,No,Not applicable,Unsure,800,200,,'501-1000,'101-500,5,4
2024-10-07T04:17:56.827Z,,Yes,Not applicable,No,Not applicable,No,1000,1000,,'501-1000,'501-1000,5,5
2024-10-07T07:41:36.809Z,,Yes,Not applicable,No,Not applicable,Unsure,120,14,,'101-500,'11-50,4,2
2024-10-07T10:05:42.696Z,,Yes,,Yes,Grafana,Unsure,100,43,,'51-100,'11-50,3,2
2024-10-07T10:45:28.316Z,,Yes,,Yes,Grafana,Unsure,70,18,,'51-100,'11-50,3,2
2024-10-07T20:51:37.939Z,,Yes,Not applicable,No,Not applicable,No,1000,250,0,'501-1000,'101-500,5,4
2024-10-08T00:09:16.784Z,,Yes,,No,,Unsure,400,50,,'101-500,'11-50,4,2
2024-10-08T01:51:04.853Z,,Yes,,No,,No,,,,,,,
2024-10-08T02:36:44.625Z,,Yes,,No,Grafana,No,,,,,,,
2024-10-08T02:44:09.731Z,,Yes,,No,,No,1000,1000,,'501-1000,'501-1000,5,5
2024-10-08T04:16:01.172Z,,Yes,,Yes,Modem app,No,270,50,,'101-500,'11-50,4,2
2024-10-08T05:32:58.903Z,,Yes,,Yes,Grafana,No,1000,500,,'501-1000,'101-500,5,4
